rank_test_score,mae_validacao_media,mae_validacao_dp,mae_treino_media,params
1,3.145060366673588,1.9151872636058846,3.1099346592740162,"{'model__min_samples_leaf': 12, 'model__max_leaf_nodes': 15, 'model__max_iter': 220, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.3}"
2,3.1554541887732652,1.9096265934292955,3.1267616165473338,"{'model__min_samples_leaf': 12, 'model__max_leaf_nodes': 31, 'model__max_iter': 120, 'model__max_depth': 2, 'model__learning_rate': 0.15, 'model__l2_regularization': 0.0}"
3,3.1880843495839772,1.9124386266314168,3.1439126865082776,"{'model__min_samples_leaf': 12, 'model__max_leaf_nodes': 31, 'model__max_iter': 220, 'model__max_depth': 5, 'model__learning_rate': 0.08, 'model__l2_regularization': 0.0}"
4,3.2066732607702026,1.9594204834633073,2.214211957574423,"{'model__min_samples_leaf': 8, 'model__max_leaf_nodes': 7, 'model__max_iter': 220, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.3}"
5,3.209544765335928,1.9614945478065362,2.2297638352729177,"{'model__min_samples_leaf': 8, 'model__max_leaf_nodes': 7, 'model__max_iter': 160, 'model__max_depth': 2, 'model__learning_rate': 0.15, 'model__l2_regularization': 0.7}"
6,3.223093296686012,1.928664013182515,2.274632479240104,"{'model__min_samples_leaf': 8, 'model__max_leaf_nodes': 31, 'model__max_iter': 160, 'model__max_depth': 4, 'model__learning_rate': 0.08, 'model__l2_regularization': 0.0}"
7,3.245494444641408,1.7058163208433208,0.47215726136408975,"{'model__min_samples_leaf': 5, 'model__max_leaf_nodes': 31, 'model__max_iter': 80, 'model__max_depth': 3, 'model__learning_rate': 0.08, 'model__l2_regularization': 0.7}"
8,3.299026869165567,1.8903276470057153,0.1757462043575622,"{'model__min_samples_leaf': 5, 'model__max_leaf_nodes': 15, 'model__max_iter': 160, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__l2_regularization': 1.0}"
9,3.320858230592097,1.8218969983031266,2.411660124920478,"{'model__min_samples_leaf': 8, 'model__max_leaf_nodes': 15, 'model__max_iter': 80, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.3}"
10,3.3926444767612827,1.8253905855584434,2.691970891899453,"{'model__min_samples_leaf': 8, 'model__max_leaf_nodes': 7, 'model__max_iter': 80, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.7}"
11,3.7853485674607867,2.848870127599066,4.8757306284136845,"{'model__min_samples_leaf': 16, 'model__max_leaf_nodes': 7, 'model__max_iter': 220, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.05}"
12,5.502955488824519,2.9586756889272774,6.326972317942283,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_iter': 220, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__l2_regularization': 1.0}"
13,5.506827294046697,2.952209669809706,6.327971420847602,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_iter': 120, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.0}"
14,5.507687902906288,2.9507725754309404,6.3561481014602,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_iter': 120, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.3}"
15,5.543441406078589,2.8911172113085746,6.291754559876475,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_iter': 120, 'model__max_depth': 3, 'model__learning_rate': 0.15, 'model__l2_regularization': 0.3}"
16,5.559589454962835,2.8642055103847466,6.282745509577343,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_iter': 160, 'model__max_depth': 5, 'model__learning_rate': 0.15, 'model__l2_regularization': 0.3}"
17,6.994631238859181,0.8287880450637604,7.682500465193774,"{'model__min_samples_leaf': 24, 'model__max_leaf_nodes': 15, 'model__max_iter': 80, 'model__max_depth': 4, 'model__learning_rate': 0.08, 'model__l2_regularization': 0.3}"
17,6.994631238859181,0.8287880450637604,7.682500465193774,"{'model__min_samples_leaf': 24, 'model__max_leaf_nodes': 15, 'model__max_iter': 120, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.05}"
